indication,country,phase,active_trial_count,estimated_patient_demand,as_of_date
heart failure,USA,Phase 3,2,122,2024-07-06
Parkinson's disease,Argentina,Phase 2,7,542,2024-03-09
Parkinson's disease,France,Phase 3,5,603,2024-04-29
asthma,United States,Phase 2,12,836,02/29/2024
ulcerative colitis,Brazil,Phase 2,3,156,2024-09-19
non-small cell lung cancer,Canada,Phase 1,15,1568,2024-09-19
Parkinson's disease,USA,Phase 1/2,16,1191,09/12/2024
ulcerative colitis,Brazil,Phase 2,15,1794,2024-05-01
melanoma,Canada,Phase 1/2,4,238,08/16/2024
Parkinson's disease,United States,Phase 3,17,1240,03/21/2024
melanoma,USA,Phase 1,16,344,07/18/2024
Crohn's disease,Australia,Phase 1/2,11,372,2024-05-21
multiple sclerosis,Italy,Phase 1/2,18,1227,2024-04-12
heart failure,United Kingdom,Phase 1/2,17,2075,06/04/2024
ulcerative colitis,Argentina,Phase 3,9,859,2024-08-18
melanoma,Germany,Phase 1,7,589,2024-07-30
Non Small Cell Lung Cancer,United Kingdom,Phase 1/2,10,939,2024-07-29
non-small cell lung cancer,France,Phase 1/2,0,9,2024-06-01
heart failure,United States,Phase 1,8,407,2024-02-22
melanoma,Singapore,Phase 1/2,16,941,07/03/2024
Crohn's disease,France,Phase 1/2,14,306,2024-09-06
Crohn's disease,Japan,Phase 2,1,158,2024-06-11
rheumatoid arthritis,France,Phase 1,11,591,2024-02-02
Non Small Cell Lung Cancer,Italy,Phase 1/2,11,1180,2024-05-15
ulcerative colitis,USA,Phase 1,2,198,2024-08-05
chronic kidney disease,South Korea,Phase 3,8,422,2024-03-22
heart failure,USA,Phase 3,5,392,2024-02-29
ulcerative colitis,Japan,Phase 3,3,271,2024-09-13
Crohn's disease,Italy,Phase 1/2,12,1134,08/17/2024
type 2 diabetes,Mexico,Phase 1/2,18,444,03/02/2024
heart failure,Spain,Phase 2,10,742,2024-06-13
melanoma,Italy,Phase 2,9,304,2024-07-23
type 2 diabetes,United States,Phase 2,15,922,2024-03-28
multiple sclerosis,France,Phase 2,15,1722,2024-04-02
Parkinson's disease,Italy,Phase 2,7,330,2024-09-03
NSCLC,Canada,Phase 1,2,254,2024-06-07
Crohn's disease,US,Phase 1/2,11,1109,2024-06-07
chronic kidney disease,Italy,Phase 1/2,5,617,04/13/2024
Crohn's disease,Germany,Phase 1,16,1214,2024-09-29
ulcerative colitis,South Korea,Phase 1/2,5,397,2024-07-29
type 2 diabetes,USA,Phase 1,6,445,02/27/2024
asthma,Italy,Phase 2,17,916,2024-04-10
asthma,Australia,Phase 3,5,442,2024-03-26
Crohn's disease,South Korea,Phase 3,12,688,2024-03-19
asthma,Spain,Phase 1,8,435,2024-05-22
rheumatoid arthritis,Germany,Phase 2,15,326,2024-05-19
chronic kidney disease,Australia,Phase 1/2,9,503,2024-09-08
heart failure,Canada,Phase 2,1,63,2024-06-02
Non Small Cell Lung Cancer,Mexico,Phase 3,8,551,2024-06-24
Crohn's disease,Italy,Phase 3,0,7,2024-05-01
asthma,United Kingdom,Phase 2,9,605,2024-07-23
Crohn's disease,Mexico,Phase 1,12,1194,2024-05-30
NSCLC,France,Phase 3,13,1339,2024-06-27
chronic kidney disease,United States,Phase 1,5,329,04/22/2024
multiple sclerosis,Italy,Phase 1/2,8,657,2024-09-09
melanoma,Mexico,Phase 1/2,5,216,2024-03-05
breast cancer,Italy,Phase 1,6,271,02/28/2024
chronic kidney disease,Argentina,Phase 1,0,25,2024-06-15
Non Small Cell Lung Cancer,Canada,Phase 3,4,161,2024-09-27
multiple sclerosis,Spain,Phase 2,9,724,03/05/2024
Parkinson's disease,France,Phase 1,1,126,2024-09-09
Parkinson's disease,Argentina,Phase 1/2,17,953,05/25/2024
melanoma,France,Phase 1/2,18,1383,2024-07-14
multiple sclerosis,South Korea,Phase 1/2,17,838,05/25/2024
heart failure,Italy,Phase 2,9,189,2024-06-14
Parkinson's disease,Germany,Phase 3,9,754,2024-02-04
psoriasis,Argentina,Phase 3,0,27,08/24/2024
rheumatoid arthritis,USA,Phase 3,6,467,05/23/2024
NSCLC,Singapore,Phase 1/2,7,376,2024-05-20
ulcerative colitis,Italy,Phase 3,17,944,2024-03-21
NSCLC,Germany,Phase 3,3,332,2024-07-09
melanoma,Argentina,Phase 2,10,229,2024-02-14
non-small cell lung cancer,France,Phase 1,9,494,2024-08-03
non-small cell lung cancer,Spain,Phase 1,4,115,03/28/2024
multiple sclerosis,Argentina,Phase 3,14,1576,02/10/2024
Parkinson's disease,Germany,Phase 1,8,977,2024-02-20
NSCLC,United Kingdom,Phase 3,12,259,2024-08-16
heart failure,Mexico,Phase 2,1,74,2024-08-08
ulcerative colitis,United Kingdom,Phase 1/2,12,1303,09/28/2024
breast cancer,US,Phase 1,8,688,04/18/2024
