trial_id,site_id,indication,phase,planned_enrollment,actual_enrollment,months_to_target,screen_failure_rate,start_date,end_date
TRIAL-0001,SITE-0004,NSCLC,Phase 2,11,11,11.9,0.18,06/01/2018,2019-07-28
TRIAL-0002,SITE-0021,breast cancer,Phase 1/2,72,27,8.7,0.62,08/12/2016,2017-04-30
TRIAL-0003,SITE-0055,NSCLC,Phase 3,42,36,10.4,0.38,2018-07-31,2019-08-11
TRIAL-0004,SITE-0025,Non Small Cell Lung Cancer,Phase 1/2,10,17,8.1,0.17,2022-06-16,2023-04-09
TRIAL-0005,SITE-0030,multiple sclerosis,Phase 1,56,6,4.5,0.1,2020-01-22,06/16/2020
TRIAL-0006,SITE-0031,asthma,Phase 1/2,72,8,4.3,0.2,2017-11-19,04/06/2018
TRIAL-0007,SITE-0036,rheumatoid arthritis,Phase 3,49,10,10.5,0.35,12/11/2017,2019-01-07
TRIAL-0008,SITE-0005,NSCLC,Phase 1/2,64,40,10.0,0.37,2022-05-01,2023-05-18
TRIAL-0009,SITE-0044,type 2 diabetes,Phase 2,61,4,2.9,0.19,2016-10-30,03/05/2017
TRIAL-0010,SITE-0026,Parkinson's disease,Phase 3,14,15,7.2,0.19,2021-03-10,2021-12-25
TRIAL-0011,SITE-0003,psoriasis,Phase 2,46,0,1.0,0.48,2019-11-07,12/17/2019
TRIAL-0012,SITE-0017,melanoma,Phase 1/2,61,48,13.5,0.38,2019-03-04,05/31/2020
TRIAL-0013,SITE-0042,non-small cell lung cancer,Phase 3,13,13,4.0,0.25,10/04/2022,2023-02-20
TRIAL-0014,SITE-0011,chronic kidney disease,Phase 3,44,6,4.9,0.38,2016-12-13,2017-06-17
TRIAL-0015,SITE-0024,Parkinson's disease,Phase 2,72,6,10.8,0.32,06/14/2021,05/28/2022
TRIAL-0016,SITE-0005,multiple sclerosis,Phase 1,69,43,15.5,0.31,2022-12-06,03/31/2024
TRIAL-0017,SITE-0013,Parkinson's disease,Phase 2,61,2,1.6,0.24,2021-01-12,03/30/2021
TRIAL-0018,SITE-0057,Crohn's disease,Phase 1/2,29,25,12.6,0.27,2019-02-28,2020-04-29
TRIAL-0019,SITE-0012,Parkinson's disease,Phase 2,22,27,7.4,0.23,10/14/2021,2022-06-08
TRIAL-0020,SITE-0020,psoriasis,Phase 2,60,1,4.1,0.05,04/19/2016,2016-10-11
TRIAL-0021,SITE-0017,heart failure,Phase 1,52,20,5.9,0.25,2016-06-05,2017-01-04
TRIAL-0022,SITE-0059,NSCLC,Phase 1/2,62,18,12.7,0.29,2017-09-04,2018-11-29
TRIAL-0023,SITE-0031,Non Small Cell Lung Cancer,Phase 3,35,16,9.1,0.22,2021-08-09,2022-07-24
TRIAL-0024,SITE-0040,rheumatoid arthritis,Phase 2,42,22,7.0,0.4,2018-02-06,2018-11-28
TRIAL-0025,SITE-0026,Non Small Cell Lung Cancer,Phase 1,54,29,17.0,0.28,10/03/2016,2018-04-10
TRIAL-0026,SITE-0008,Crohn's disease,Phase 3,22,2,2.6,0.43,2023-09-05,2024-01-20
TRIAL-0027,SITE-0013,Crohn's disease,Phase 2,13,16,5.7,0.36,2019-06-24,2020-02-15
TRIAL-0028,SITE-0034,multiple sclerosis,Phase 1,29,18,5.6,0.2,2017-05-24,2017-12-25
TRIAL-0029,SITE-0032,chronic kidney disease,Phase 1/2,48,12,7.8,0.27,2020-10-04,2021-06-05
TRIAL-0030,SITE-0013,ulcerative colitis,Phase 3,46,5,7.8,0.43,2020-10-11,2021-06-23
TRIAL-0031,SITE-0003,melanoma,Phase 3,60,6,15.8,0.22,10/02/2021,04/15/2023
TRIAL-0032,SITE-0060,asthma,Phase 1/2,9,11,3.2,0.17,04/17/2020,10/02/2020
TRIAL-0033,SITE-0032,type 2 diabetes,Phase 3,61,11,6.3,0.24,2017-04-09,2017-10-18
TRIAL-0034,SITE-0027,chronic kidney disease,Phase 1,38,40,15.1,0.44,10/13/2023,03/11/2025
TRIAL-0035,SITE-0005,psoriasis,Phase 2,61,56,14.8,0.19,03/02/2022,07/28/2023
TRIAL-0036,SITE-0012,melanoma,Phase 2,51,18,7.2,0.26,08/27/2018,2019-06-02
TRIAL-0037,SITE-0026,psoriasis,Phase 2,16,4,3.7,0.08,06/12/2022,10/10/2022
TRIAL-0038,SITE-0005,psoriasis,Phase 1/2,71,19,5.7,0.22,2017-06-12,2018-01-24
TRIAL-0039,SITE-0059,Non Small Cell Lung Cancer,Phase 2,43,5,5.4,0.42,03/09/2019,2019-08-28
TRIAL-0040,SITE-0039,multiple sclerosis,Phase 2,43,17,7.2,0.28,07/06/2022,2023-02-26
TRIAL-0041,SITE-0042,type 2 diabetes,Phase 1,8,12,3.3,0.16,2020-09-02,2021-02-27
TRIAL-0042,SITE-0044,ulcerative colitis,Phase 3,43,7,2.9,0.35,09/21/2023,2023-12-24
TRIAL-0043,SITE-0033,rheumatoid arthritis,Phase 3,23,7,2.9,0.34,2020-02-26,07/27/2020
TRIAL-0044,SITE-0033,Non Small Cell Lung Cancer,Phase 3,62,8,9.5,0.37,11/25/2022,2023-10-29
TRIAL-0045,SITE-0012,Parkinson's disease,Phase 3,78,46,12.5,0.05,07/30/2021,2022-08-11
TRIAL-0046,SITE-0033,rheumatoid arthritis,Phase 2,79,10,7.2,0.44,2023-05-03,2024-02-29
TRIAL-0047,SITE-0060,Non Small Cell Lung Cancer,Phase 1/2,22,27,4.7,0.32,2022-04-20,10/02/2022
TRIAL-0048,SITE-0027,ulcerative colitis,Phase 1/2,75,18,6.2,0.23,2017-01-31,2017-09-24
TRIAL-0049,SITE-0039,type 2 diabetes,Phase 2,30,18,8.8,0.35,2021-04-24,2022-03-20
TRIAL-0050,SITE-0036,NSCLC,Phase 3,45,5,6.4,0.18,2019-10-09,2020-06-21
TRIAL-0051,SITE-0050,asthma,Phase 3,65,12,9.2,0.09,2024-02-18,2025-02-16
TRIAL-0052,SITE-0018,breast cancer,Phase 2,11,13,1.7,0.25,2020-04-06,06/14/2020
TRIAL-0053,SITE-0040,melanoma,Phase 1,29,8,3.8,0.1,2021-04-15,2021-08-14
TRIAL-0054,SITE-0039,type 2 diabetes,Phase 1/2,72,20,7.7,0.32,2022-02-15,2022-11-18
TRIAL-0055,SITE-0048,breast cancer,Phase 3,66,10,7.0,0.6,03/29/2019,2020-01-23
TRIAL-0056,SITE-0023,psoriasis,Phase 3,76,28,7.0,0.43,2022-02-02,2022-10-18
TRIAL-0057,SITE-0025,Crohn's disease,Phase 2,42,13,4.0,0.17,2018-05-26,10/18/2018
TRIAL-0058,SITE-0039,melanoma,Phase 3,22,5,2.4,0.32,2021-12-15,03/25/2022
TRIAL-0059,SITE-0030,type 2 diabetes,Phase 1/2,17,19,9.7,0.05,2021-05-02,2022-04-19
TRIAL-0060,SITE-0021,type 2 diabetes,Phase 3,12,13,3.2,0.21,2024-02-09,05/19/2024
TRIAL-0061,SITE-0059,NSCLC,Phase 1,55,22,16.6,0.29,05/15/2022,2023-12-11
TRIAL-0062,SITE-0021,psoriasis,Phase 1/2,22,29,8.1,0.5,2019-09-16,2020-06-05
TRIAL-0063,SITE-0050,NSCLC,Phase 1,48,9,4.6,0.15,2020-07-18,01/26/2021
TRIAL-0064,SITE-0047,Non Small Cell Lung Cancer,Phase 2,22,6,6.8,0.29,2021-01-03,08/29/2021
TRIAL-0065,SITE-0051,asthma,Phase 1,38,30,9.3,0.21,2023-09-11,2024-08-19
TRIAL-0066,SITE-0055,multiple sclerosis,Phase 1,42,26,7.6,0.34,2017-09-19,2018-07-02
TRIAL-0067,SITE-0030,melanoma,Phase 1/2,73,42,12.6,0.29,2016-12-01,2018-02-19
TRIAL-0068,SITE-0005,chronic kidney disease,Phase 1,12,11,4.2,0.42,2017-11-04,2018-04-20
TRIAL-0069,SITE-0048,rheumatoid arthritis,Phase 1/2,16,18,9.3,0.15,2016-08-24,2017-08-09
TRIAL-0070,SITE-0051,non-small cell lung cancer,Phase 1/2,37,36,11.3,0.26,11/12/2019,2021-01-13
TRIAL-0071,SITE-0005,chronic kidney disease,Phase 1/2,9,19,7.0,0.45,2020-09-17,2021-06-01
TRIAL-0072,SITE-0027,heart failure,Phase 1,74,11,7.5,0.54,05/28/2020,2021-03-16
TRIAL-0073,SITE-0059,non-small cell lung cancer,Phase 1,43,11,5.6,0.32,11/18/2019,2020-05-23
TRIAL-0074,SITE-0051,Crohn's disease,Phase 1,9,15,2.2,0.09,03/05/2016,06/09/2016
TRIAL-0075,SITE-0003,psoriasis,Phase 1,36,3,8.7,0.29,2017-07-27,06/17/2018
TRIAL-0076,SITE-0051,asthma,Phase 3,78,11,4.0,0.2,2017-08-09,2018-03-01
TRIAL-0077,SITE-0020,non-small cell lung cancer,Phase 2,59,4,11.8,0.18,2019-07-29,10/14/2020
TRIAL-0078,SITE-0027,NSCLC,Phase 1/2,35,16,6.4,0.23,2021-03-11,2021-09-26
TRIAL-0079,SITE-0039,ulcerative colitis,Phase 2,54,14,8.7,0.31,02/15/2024,2024-11-26
TRIAL-0080,SITE-0042,asthma,Phase 1,14,13,4.2,0.13,2021-05-17,10/16/2021
